,SalesOrderCreationDate,OrderQuantity,PlantKey,CustomerKey,MaterialKey,RequestedDeliveryDate,DeliveryDate,HighOrderQtyFlag,Delay,Season
47925,2022-01-03,10,8,525,2,2022-01-19,2022-01-21,0,2,Winter2021
47440,2022-01-03,22,4,411,1,2022-02-03,2022-02-10,0,7,Winter2021
48278,2022-01-03,17,5,588,2,2022-02-07,2022-02-17,0,10,Winter2021
88762,2022-01-03,10,4,404,1,2022-02-03,2022-02-04,0,1,Winter2021
14424,2022-01-03,19,4,65,1,2022-02-15,2022-02-23,0,8,Winter2021
26480,2022-01-03,18,8,1032,1,2022-02-08,2022-02-14,0,6,Winter2021
86186,2022-01-03,21,6,1224,1,2022-02-01,2022-02-14,0,13,Winter2021
41219,2022-01-04,18,4,330,1,2022-02-01,2022-02-02,0,1,Winter2021
94414,2022-01-04,19,8,548,2,2022-02-04,2022-02-08,0,4,Winter2021
56398,2022-01-04,17,8,1202,1,2022-02-01,2022-02-15,0,14,Winter2021
10287,2022-01-04,13,8,845,1,2022-02-02,2022-02-14,0,12,Winter2021
57767,2022-01-04,16,4,347,1,2022-02-07,2022-02-18,0,11,Winter2021
50339,2022-01-04,20,6,791,1,2022-01-21,2022-01-27,0,6,Winter2021
85462,2022-01-04,19,8,898,1,2022-02-04,2022-02-14,0,10,Winter2021
72553,2022-01-04,25,8,1056,1,2022-01-05,2022-01-19,0,14,Winter2021
21072,2022-01-04,18,6,664,2,2022-02-22,2022-02-23,0,1,Winter2021
19726,2022-01-04,17,4,270,1,2022-02-02,2022-02-07,0,5,Winter2021
45965,2022-01-04,17,4,96,1,2022-01-28,2022-02-11,0,14,Winter2021
3680,2022-01-04,22,8,1032,1,2022-01-26,2022-01-31,0,5,Winter2021
8322,2022-01-04,15,6,654,1,2022-02-01,2022-02-14,0,13,Winter2021
46466,2022-01-04,18,4,235,1,2022-02-10,2022-02-16,0,6,Winter2021
8245,2022-01-04,17,5,1150,1,2022-01-31,2022-02-08,0,8,Winter2021
8257,2022-01-04,19,4,439,1,2022-02-03,2022-02-15,0,12,Winter2021
92369,2022-01-04,18,4,161,2,2022-02-22,2022-03-04,0,10,Winter2021
14570,2022-01-04,16,6,774,1,2022-01-25,2022-02-03,0,9,Winter2021
32652,2022-01-05,20,5,612,2,2022-02-01,2022-02-03,0,2,Winter2021
60348,2022-01-05,11,4,361,2,2022-02-04,2022-02-16,0,12,Winter2021
27022,2022-01-05,22,8,771,1,2022-02-14,2022-02-22,0,8,Winter2021
30025,2022-01-05,17,5,1076,2,2022-02-01,2022-02-02,0,1,Winter2021
4890,2022-01-05,15,4,281,1,2022-01-19,2022-01-20,0,1,Winter2021
5654,2022-01-05,10,4,351,1,2022-01-28,2022-02-01,0,4,Winter2021
25864,2022-01-05,18,5,1042,1,2022-02-11,2022-02-25,0,14,Winter2021
65540,2022-01-05,12,5,695,1,2022-02-07,2022-02-16,0,9,Winter2021
27950,2022-01-05,20,6,719,1,2022-02-09,2022-02-15,0,6,Winter2021
76597,2022-01-05,21,5,1162,2,2022-02-15,2022-03-01,0,14,Winter2021
18728,2022-01-05,20,4,419,1,2022-02-17,2022-02-22,0,5,Winter2021
70700,2022-01-05,18,5,815,1,2022-02-17,2022-02-18,0,1,Winter2021
49436,2022-01-05,19,8,888,1,2022-02-22,2022-03-03,0,9,Winter2021
11513,2022-01-05,19,4,384,2,2022-01-27,2022-02-04,0,8,Winter2021
9962,2022-01-05,18,4,220,1,2022-01-28,2022-02-10,0,13,Winter2021
9092,2022-01-05,17,4,458,1,2022-01-26,2022-02-09,0,14,Winter2021
69965,2022-01-05,19,6,998,1,2022-02-01,2022-02-09,0,8,Winter2021
14905,2022-01-05,14,6,993,2,2022-02-18,2022-02-23,0,5,Winter2021
80276,2022-01-05,19,4,3,2,2022-01-25,2022-02-07,0,13,Winter2021
8152,2022-01-05,19,8,877,1,2022-01-31,2022-02-08,0,8,Winter2021
92992,2022-01-05,21,8,694,1,2022-01-31,2022-02-02,0,2,Winter2021
43191,2022-01-05,16,4,187,2,2022-02-22,2022-02-28,0,6,Winter2021
1675,2022-01-05,14,8,889,1,2022-01-27,2022-01-28,0,1,Winter2021
41036,2022-01-05,19,6,551,2,2022-01-26,2022-02-02,0,7,Winter2021
66666,2022-01-05,15,4,429,1,2022-02-09,2022-02-21,0,12,Winter2021
22247,2022-01-05,16,4,226,1,2022-02-11,2022-02-14,0,3,Winter2021
37761,2022-01-06,19,4,98,1,2022-01-25,2022-02-02,0,8,Winter2021
68311,2022-01-06,16,5,1111,2,2022-02-07,2022-02-10,0,3,Winter2021
57477,2022-01-06,18,4,289,1,2022-02-09,2022-02-17,0,8,Winter2021
94956,2022-01-06,19,6,1017,1,2022-02-03,2022-02-11,0,8,Winter2021
92304,2022-01-06,14,4,73,1,2022-01-25,2022-01-28,0,3,Winter2021
71774,2022-01-06,23,5,685,1,2022-02-14,2022-02-18,0,4,Winter2021
38769,2022-01-06,19,4,77,2,2022-02-08,2022-02-17,0,9,Winter2021
60642,2022-01-06,18,5,658,2,2022-01-14,2022-01-19,0,5,Winter2021
56570,2022-01-06,19,5,815,1,2022-02-01,2022-02-07,0,6,Winter2021
35765,2022-01-06,17,8,644,1,2022-02-09,2022-02-21,0,12,Winter2021
64093,2022-01-06,17,4,467,1,2022-02-15,2022-02-25,0,10,Winter2021
81019,2022-01-06,14,4,244,1,2022-01-31,2022-02-14,0,14,Winter2021
25859,2022-01-06,18,6,580,1,2022-01-19,2022-01-31,0,12,Winter2021
86907,2022-01-06,19,8,508,1,2022-02-01,2022-02-07,0,6,Winter2021
5988,2022-01-06,22,4,446,1,2022-01-26,2022-02-04,0,9,Winter2021
84820,2022-01-06,20,5,759,1,2022-03-03,2022-03-17,0,14,Winter2021
26183,2022-01-06,13,4,201,1,2022-02-24,2022-03-01,0,5,Winter2021
83292,2022-01-06,15,4,265,1,2022-02-04,2022-02-15,0,11,Winter2021
81367,2022-01-06,18,5,1181,2,2022-02-18,2022-02-22,0,4,Winter2021
26195,2022-01-06,15,5,961,1,2022-01-25,2022-02-07,0,13,Winter2021
16329,2022-01-06,19,4,124,1,2022-02-09,2022-02-23,0,14,Winter2021
76194,2022-01-06,21,4,280,1,2022-02-07,2022-02-18,0,11,Winter2021
43142,2022-01-07,19,8,940,1,2022-02-09,2022-02-17,0,8,Winter2021
40086,2022-01-07,19,4,271,1,2022-02-15,2022-02-24,0,9,Winter2021
77398,2022-01-07,20,6,1080,2,2022-01-27,2022-01-28,0,1,Winter2021
21353,2022-01-07,18,6,949,1,2022-01-26,2022-02-01,0,6,Winter2021
16356,2022-01-07,21,4,123,1,2022-02-02,2022-02-08,0,6,Winter2021
23327,2022-01-07,20,5,1215,1,2022-02-07,2022-02-09,0,2,Winter2021
4863,2022-01-07,12,8,877,1,2022-02-14,2022-02-16,0,2,Winter2021
44562,2022-01-07,23,4,362,1,2022-02-10,2022-02-16,0,6,Winter2021
86052,2022-01-07,15,6,700,1,2022-01-27,2022-02-01,0,5,Winter2021
69376,2022-01-07,19,4,2,1,2022-02-09,2022-02-14,0,5,Winter2021
77664,2022-01-07,20,5,833,2,2022-02-08,2022-02-11,0,3,Winter2021
87423,2022-01-07,15,6,717,1,2022-02-15,2022-02-28,0,13,Winter2021
68646,2022-01-07,16,8,682,2,2022-02-17,2022-02-23,0,6,Winter2021
56461,2022-01-07,23,5,1183,2,2022-02-02,2022-02-10,0,8,Winter2021
93948,2022-01-07,21,5,785,1,2022-01-28,2022-01-31,0,3,Winter2021
76298,2022-01-07,12,4,384,1,2022-02-01,2022-02-14,0,13,Winter2021
56076,2022-01-07,16,6,1144,1,2022-02-04,2022-02-07,0,3,Winter2021
67312,2022-01-07,16,4,368,1,2022-02-07,2022-02-08,0,1,Winter2021
9213,2022-01-07,17,5,1081,1,2022-01-31,2022-02-14,0,14,Winter2021
73945,2022-01-07,16,6,1085,1,2022-02-03,2022-02-04,0,1,Winter2021
68633,2022-01-07,18,8,1108,1,2022-02-11,2022-02-23,0,12,Winter2021
56900,2022-01-07,16,4,725,2,2022-02-04,2022-02-10,0,6,Winter2021
73531,2022-01-07,17,6,1193,1,2022-02-02,2022-02-08,0,6,Winter2021
94447,2022-01-07,16,6,1065,1,2022-01-24,2022-02-07,0,14,Winter2021
15302,2022-01-08,15,8,512,1,2022-01-31,2022-02-11,0,11,Winter2021
5802,2022-01-08,20,5,803,2,2022-02-21,2022-02-23,0,2,Winter2021
66469,2022-01-08,13,6,927,1,2022-01-27,2022-02-09,0,13,Winter2021
54478,2022-01-08,12,4,173,1,2022-02-02,2022-02-10,0,8,Winter2021
17103,2022-01-08,18,8,532,1,2022-01-31,2022-02-10,0,10,Winter2021
57762,2022-01-08,18,4,233,1,2022-02-07,2022-02-16,0,9,Winter2021
7267,2022-01-08,18,5,757,2,2022-01-27,2022-02-03,0,7,Winter2021
27274,2022-01-08,19,4,221,1,2022-01-27,2022-02-10,0,14,Winter2021
40902,2022-01-08,21,5,1009,1,2022-02-08,2022-02-21,0,13,Winter2021
288,2022-01-08,15,4,4,1,2022-03-02,2022-03-07,0,5,Winter2021
13750,2022-01-08,17,4,367,1,2022-02-01,2022-02-07,0,6,Winter2021
49862,2022-01-08,18,5,1117,1,2022-02-01,2022-02-08,0,7,Winter2021
39149,2022-01-08,14,6,904,1,2022-02-04,2022-02-08,0,4,Winter2021
52951,2022-01-08,12,5,593,1,2022-02-02,2022-02-07,0,5,Winter2021
35736,2022-01-08,17,6,1093,2,2022-02-15,2022-02-23,0,8,Winter2021
66671,2022-01-08,15,4,292,2,2022-02-01,2022-02-08,0,7,Winter2021
13473,2022-01-08,21,6,893,2,2022-03-03,2022-03-14,0,11,Winter2021
23685,2022-01-08,17,6,641,1,2022-01-21,2022-01-26,0,5,Winter2021
76620,2022-01-08,21,4,256,1,2022-02-01,2022-02-11,0,10,Winter2021
31961,2022-01-08,16,5,1088,1,2022-01-27,2022-02-08,0,12,Winter2021
31463,2022-01-08,19,4,178,1,2022-02-14,2022-02-16,0,2,Winter2021
69457,2022-01-08,13,4,35,1,2022-02-10,2022-02-18,0,8,Winter2021
93839,2022-01-08,14,5,1204,1,2022-01-13,2022-01-27,0,14,Winter2021
38547,2022-01-08,20,4,167,1,2022-01-31,2022-02-10,0,10,Winter2021
65466,2022-01-08,27,4,225,1,2022-02-23,2022-03-07,0,12,Winter2021
21267,2022-01-08,19,4,455,1,2022-02-03,2022-02-14,0,11,Winter2021
93868,2022-01-08,20,4,480,1,2022-02-03,2022-02-10,0,7,Winter2021
21054,2022-01-08,27,8,881,1,2022-02-15,2022-02-24,0,9,Winter2021
53881,2022-01-09,22,4,341,1,2022-02-08,2022-02-16,0,8,Winter2021
47359,2022-01-09,16,4,83,2,2022-02-11,2022-02-18,0,7,Winter2021
55197,2022-01-09,17,4,136,1,2022-02-16,2022-03-02,0,14,Winter2021
13673,2022-01-09,14,4,370,2,2022-02-03,2022-02-08,0,5,Winter2021
69822,2022-01-09,15,8,634,2,2022-02-11,2022-02-25,0,14,Winter2021
98935,2022-01-09,19,5,588,1,2022-02-14,2022-02-17,0,3,Winter2021
25800,2022-01-09,21,6,727,1,2022-01-31,2022-02-09,0,9,Winter2021
25277,2022-01-09,23,6,1096,1,2022-02-07,2022-02-18,0,11,Winter2021
77710,2022-01-09,17,4,387,1,2022-02-10,2022-02-22,0,12,Winter2021
99046,2022-01-09,14,6,883,1,2022-02-01,2022-02-15,0,14,Winter2021
59275,2022-01-09,17,5,801,1,2022-02-02,2022-02-09,0,7,Winter2021
61682,2022-01-09,19,7,667,1,2022-01-27,2022-02-10,0,14,Winter2021
18914,2022-01-09,20,8,705,1,2022-02-04,2022-02-17,0,13,Winter2021
93309,2022-01-09,17,5,1194,1,2022-02-18,2022-02-28,0,10,Winter2021
62540,2022-01-10,18,4,394,1,2022-02-03,2022-02-07,0,4,Winter2021
10059,2022-01-10,17,4,246,1,2022-02-10,2022-02-24,0,14,Winter2021
30950,2022-01-10,16,4,48,2,2022-02-10,2022-02-14,0,4,Winter2021
76795,2022-01-10,20,4,358,1,2022-02-01,2022-02-07,0,6,Winter2021
4805,2022-01-10,15,5,658,2,2022-02-04,2022-02-16,0,12,Winter2021
33014,2022-01-10,18,4,47,1,2022-02-18,2022-03-03,0,13,Winter2021
8085,2022-01-10,15,4,259,1,2022-02-03,2022-02-16,0,13,Winter2021
90880,2022-01-10,22,5,748,1,2022-02-10,2022-02-17,0,7,Winter2021
76843,2022-01-10,15,8,948,1,2022-02-01,2022-02-15,0,14,Winter2021
6760,2022-01-10,20,5,1078,1,2022-02-09,2022-02-16,0,7,Winter2021
92600,2022-01-10,18,4,391,1,2022-02-04,2022-02-17,0,13,Winter2021
24077,2022-01-10,25,8,877,1,2022-02-10,2022-02-22,0,12,Winter2021
99295,2022-01-10,21,6,1085,1,2022-02-24,2022-03-04,0,8,Winter2021
73131,2022-01-10,14,4,489,1,2022-01-20,2022-02-03,0,14,Winter2021
60116,2022-01-10,16,6,507,1,2022-02-11,2022-02-16,0,5,Winter2021
5192,2022-01-10,18,4,524,1,2022-02-04,2022-02-09,0,5,Winter2021
47360,2022-01-10,20,8,963,2,2022-02-11,2022-02-21,0,10,Winter2021
1939,2022-01-10,14,5,501,2,2022-02-08,2022-02-18,0,10,Winter2021
1486,2022-01-10,19,5,745,1,2022-02-14,2022-02-22,0,8,Winter2021
66689,2022-01-11,17,4,72,1,2022-01-26,2022-02-08,0,13,Winter2021
1299,2022-01-11,18,4,275,1,2022-02-24,2022-03-01,0,5,Winter2021
85571,2022-01-11,17,4,393,1,2022-02-14,2022-02-22,0,8,Winter2021
62642,2022-01-11,18,4,302,1,2022-01-28,2022-02-08,0,11,Winter2021
63373,2022-01-11,15,6,906,1,2022-01-28,2022-02-02,0,5,Winter2021
27109,2022-01-11,19,4,312,2,2022-02-02,2022-02-08,0,6,Winter2021
15168,2022-01-11,19,6,1197,1,2022-02-03,2022-02-09,0,6,Winter2021
63854,2022-01-11,20,5,1009,1,2022-02-11,2022-02-24,0,13,Winter2021
95455,2022-01-11,17,8,978,1,2022-02-02,2022-02-10,0,8,Winter2021
22822,2022-01-11,19,6,681,1,2022-02-02,2022-02-15,0,13,Winter2021
13594,2022-01-11,21,4,222,2,2022-02-09,2022-02-14,0,5,Winter2021
46805,2022-01-11,18,8,657,1,2022-01-21,2022-02-01,0,11,Winter2021
80499,2022-01-11,15,5,1129,1,2022-02-17,2022-03-01,0,12,Winter2021
35563,2022-01-11,24,4,79,1,2022-02-08,2022-02-10,0,2,Winter2021
17778,2022-01-11,17,6,614,2,2022-02-11,2022-02-25,0,14,Winter2021
30269,2022-01-11,17,4,273,1,2022-02-17,2022-02-24,0,7,Winter2021
76814,2022-01-12,19,4,75,2,2022-02-02,2022-02-07,0,5,Winter2021
22865,2022-01-12,17,4,355,1,2022-01-21,2022-01-26,0,5,Winter2021
39151,2022-01-12,17,5,1215,1,2022-02-18,2022-02-24,0,6,Winter2021
4449,2022-01-12,16,4,153,1,2022-02-01,2022-02-03,0,2,Winter2021
30393,2022-01-12,17,6,630,2,2022-02-08,2022-02-09,0,1,Winter2021
31777,2022-01-12,18,4,94,2,2022-02-15,2022-03-01,0,14,Winter2021
2349,2022-01-12,21,4,133,1,2022-02-11,2022-02-16,0,5,Winter2021
12495,2022-01-12,16,4,467,1,2022-01-13,2022-01-18,0,5,Winter2021
57738,2022-01-12,19,5,767,2,2022-01-27,2022-02-10,0,14,Winter2021
181,2022-01-12,20,4,349,1,2022-02-25,2022-03-07,0,10,Winter2021
64974,2022-01-12,20,6,921,1,2022-02-23,2022-03-04,0,9,Winter2021
75328,2022-01-12,16,4,297,2,2022-02-14,2022-02-25,0,11,Winter2021
90911,2022-01-12,17,4,429,2,2022-02-10,2022-02-11,0,1,Winter2021
62469,2022-01-12,24,8,618,1,2022-01-25,2022-02-01,0,7,Winter2021
1098,2022-01-12,21,4,362,1,2022-02-14,2022-02-15,0,1,Winter2021
28186,2022-01-13,16,4,3,1,2022-02-21,2022-02-28,0,7,Winter2021
56594,2022-01-13,12,4,202,2,2022-01-14,2022-01-20,0,6,Winter2021
37663,2022-01-13,23,5,669,1,2022-02-08,2022-02-21,0,13,Winter2021
56160,2022-01-13,20,4,380,2,2022-03-02,2022-03-07,0,5,Winter2021
96960,2022-01-13,14,8,1132,2,2022-02-14,2022-02-18,0,4,Winter2021
5607,2022-01-13,18,4,361,1,2022-02-03,2022-02-11,0,8,Winter2021
58102,2022-01-13,14,6,523,1,2022-02-09,2022-02-14,0,5,Winter2021
46524,2022-01-13,17,5,960,1,2022-02-14,2022-02-17,0,3,Winter2021
6298,2022-01-13,15,6,1115,1,2022-02-14,2022-02-15,0,1,Winter2021
50631,2022-01-13,17,5,1181,1,2022-02-14,2022-02-17,0,3,Winter2021
10114,2022-01-13,10,4,18,1,2022-02-15,2022-02-18,0,3,Winter2021
36788,2022-01-13,15,8,590,1,2022-02-07,2022-02-17,0,10,Winter2021
59187,2022-01-13,19,5,748,1,2022-01-27,2022-02-09,0,13,Winter2021
47530,2022-01-13,20,4,263,2,2022-02-10,2022-02-17,0,7,Winter2021
65396,2022-01-13,13,8,673,1,2022-02-23,2022-03-02,0,7,Winter2021
69795,2022-01-13,15,4,199,2,2022-02-14,2022-02-25,0,11,Winter2021
71563,2022-01-13,17,8,819,1,2022-02-10,2022-02-24,0,14,Winter2021
67373,2022-01-13,24,4,450,1,2022-02-07,2022-02-09,0,2,Winter2021
79200,2022-01-13,22,4,135,1,2022-02-15,2022-03-01,0,14,Winter2021
73663,2022-01-13,18,4,57,1,2022-02-09,2022-02-16,0,7,Winter2021
89334,2022-01-13,18,6,921,1,2022-02-16,2022-02-18,0,2,Winter2021
14016,2022-01-14,16,4,180,1,2022-01-26,2022-02-08,0,13,Winter2021
15491,2022-01-14,23,4,351,1,2022-02-17,2022-03-02,0,13,Winter2021
77009,2022-01-14,20,8,617,1,2022-02-04,2022-02-16,0,12,Winter2021
95645,2022-01-14,18,5,687,1,2022-02-23,2022-02-24,0,1,Winter2021
4380,2022-01-14,20,5,1030,1,2022-02-25,2022-03-11,0,14,Winter2021
97631,2022-01-14,19,5,593,1,2022-02-22,2022-02-28,0,6,Winter2021
94823,2022-01-14,17,6,984,2,2022-03-03,2022-03-04,0,1,Winter2021
33445,2022-01-14,18,4,65,1,2022-02-23,2022-03-02,0,7,Winter2021
2278,2022-01-14,20,4,79,1,2022-02-01,2022-02-14,0,13,Winter2021
48336,2022-01-14,21,4,151,2,2022-02-01,2022-02-02,0,1,Winter2021
28453,2022-01-14,19,5,646,2,2022-02-25,2022-03-10,0,13,Winter2021
28909,2022-01-14,21,8,511,1,2022-02-18,2022-02-22,0,4,Winter2021
87766,2022-01-14,13,6,916,1,2022-02-21,2022-03-07,0,14,Winter2021
64151,2022-01-14,18,6,1114,1,2022-02-25,2022-03-11,0,14,Winter2021
98966,2022-01-14,17,8,1007,1,2022-02-09,2022-02-17,0,8,Winter2021
8358,2022-01-14,19,6,629,1,2022-02-11,2022-02-24,0,13,Winter2021
83570,2022-01-14,13,4,124,1,2022-02-14,2022-02-17,0,3,Winter2021
8876,2022-01-15,19,4,111,1,2022-02-07,2022-02-15,0,8,Winter2021
26800,2022-01-15,18,8,634,1,2022-03-04,2022-03-11,0,7,Winter2021
57321,2022-01-15,22,4,353,2,2022-02-07,2022-02-16,0,9,Winter2021
89540,2022-01-15,21,4,179,1,2022-02-24,2022-03-02,0,6,Winter2021
94809,2022-01-15,16,5,975,1,2022-01-19,2022-01-28,0,9,Winter2021
33093,2022-01-15,15,4,76,1,2022-02-11,2022-02-14,0,3,Winter2021
34402,2022-01-15,16,5,803,1,2022-02-16,2022-02-24,0,8,Winter2021
36187,2022-01-15,17,5,1016,1,2022-02-07,2022-02-17,0,10,Winter2021
93763,2022-01-15,20,4,413,1,2022-02-16,2022-02-21,0,5,Winter2021
40948,2022-01-15,19,6,492,2,2022-03-14,2022-03-25,0,11,Winter2021
41804,2022-01-15,24,6,1226,1,2022-02-17,2022-02-23,0,6,Winter2021
71000,2022-01-15,18,5,799,2,2022-02-25,2022-03-03,0,6,Winter2021
52614,2022-01-15,21,4,228,1,2022-02-14,2022-02-25,0,11,Winter2021
89130,2022-01-15,20,6,990,1,2022-02-18,2022-03-03,0,13,Winter2021
25752,2022-01-15,22,6,709,1,2022-02-15,2022-02-16,0,1,Winter2021
50972,2022-01-15,20,6,740,1,2022-02-08,2022-02-11,0,3,Winter2021
97937,2022-01-15,20,5,1042,1,2022-02-07,2022-02-16,0,9,Winter2021
81415,2022-01-16,14,5,1039,1,2022-01-21,2022-01-26,0,5,Winter2021
63307,2022-01-16,21,6,875,2,2022-02-11,2022-02-14,0,3,Winter2021
95926,2022-01-16,17,4,206,2,2022-02-10,2022-02-24,0,14,Winter2021
90066,2022-01-16,16,8,1131,2,2022-03-15,2022-03-22,0,7,Winter2021
77860,2022-01-16,18,8,830,1,2022-02-16,2022-02-28,0,12,Winter2021
85632,2022-01-16,22,5,1030,1,2022-02-09,2022-02-16,0,7,Winter2021
32528,2022-01-16,19,8,590,1,2022-02-04,2022-02-10,0,6,Winter2021
61539,2022-01-16,15,6,991,1,2022-02-15,2022-02-22,0,7,Winter2021
34435,2022-01-16,21,6,528,1,2022-02-15,2022-02-22,0,7,Winter2021
37554,2022-01-16,21,4,481,1,2022-01-27,2022-01-31,0,4,Winter2021
54642,2022-01-16,18,6,671,1,2022-02-03,2022-02-17,0,14,Winter2021
95697,2022-01-16,19,6,1160,1,2022-01-24,2022-01-31,0,7,Winter2021
53627,2022-01-16,13,6,924,1,2022-02-03,2022-02-08,0,5,Winter2021
86903,2022-01-16,19,6,740,1,2022-02-22,2022-02-28,0,6,Winter2021
92547,2022-01-16,16,4,458,1,2022-02-14,2022-02-25,0,11,Winter2021
15716,2022-01-16,19,6,854,1,2022-02-21,2022-02-23,0,2,Winter2021
89573,2022-01-16,17,4,25,1,2022-02-10,2022-02-23,0,13,Winter2021
18595,2022-01-16,25,8,1101,1,2022-02-18,2022-02-21,0,3,Winter2021
51788,2022-01-17,17,4,253,1,2022-02-23,2022-03-09,0,14,Winter2021
62229,2022-01-17,18,4,142,1,2022-03-03,2022-03-16,0,13,Winter2021
57032,2022-01-17,14,5,503,1,2022-03-01,2022-03-10,0,9,Winter2021
82426,2022-01-17,12,4,368,2,2022-02-03,2022-02-09,0,6,Winter2021
32223,2022-01-17,14,7,1012,2,2022-02-14,2022-02-16,0,2,Winter2021
40500,2022-01-17,20,5,762,1,2022-02-16,2022-02-25,0,9,Winter2021
82226,2022-01-17,17,4,452,1,2022-02-16,2022-03-02,0,14,Winter2021
73200,2022-01-17,19,8,648,2,2022-02-25,2022-03-09,0,12,Winter2021
89915,2022-01-17,19,4,12,1,2022-02-07,2022-02-21,0,14,Winter2021
93381,2022-01-17,15,4,17,1,2022-02-01,2022-02-10,0,9,Winter2021
26051,2022-01-17,12,6,846,2,2022-02-15,2022-02-25,0,10,Winter2021
38464,2022-01-17,11,6,668,1,2022-02-25,2022-03-03,0,6,Winter2021
39812,2022-01-17,14,8,1106,2,2022-02-28,2022-03-02,0,2,Winter2021
598,2022-01-17,17,5,820,1,2022-03-07,2022-03-18,0,11,Winter2021
