,SalesOrderCreationDate,OrderQuantity,PlantKey,CustomerKey,MaterialKey,RequestedDeliveryDate,DeliveryDate,HighOrderQtyFlag,Delay,Season,CustomerCountry,CustomerName
34590,2022-01-02,21,8,1066,2,2022-01-28,2022-02-11,0,14,Winter2021,Norway,"Bergnaum, Bauch and Runolfsdottir"
77607,2022-01-02,15,4,196,1,2022-02-22,2022-03-04,0,10,Winter2021,Germany,"Schneider, Green and Green"
73319,2022-01-02,20,4,184,2,2022-02-09,2022-02-22,0,13,Winter2021,Belgium,"Wyman, Connelly and Bradtke"
33573,2022-01-02,20,4,340,1,2022-01-19,2022-01-31,0,12,Winter2021,Germany,"Conroy, Leannon and Padberg"
75379,2022-01-02,20,4,338,1,2022-01-31,2022-02-01,0,1,Winter2021,Belgium,"Hahn, Hamill and Jaskolski"
16659,2022-01-02,20,6,782,1,2022-01-31,2022-02-11,0,11,Winter2021,France,Reinger-Kemmer
10142,2022-01-02,17,4,243,1,2022-01-25,2022-01-26,0,1,Winter2021,Germany,Klocko-Runte
80424,2022-01-02,17,4,442,2,2022-02-14,2022-02-15,0,1,Winter2021,Germany,"Jerde, Marquardt and Hamill"
58136,2022-01-02,16,4,373,1,2022-01-25,2022-01-31,0,6,Winter2021,Germany,Sipes-Grimes
59414,2022-01-02,18,5,503,1,2022-01-20,2022-01-28,0,8,Winter2021,Poland,Larkin-Murazik
60273,2022-01-02,21,4,373,1,2022-02-09,2022-02-14,0,5,Winter2021,Germany,Sipes-Grimes
91314,2022-01-03,13,4,50,1,2022-01-28,2022-02-08,0,11,Winter2021,Belgium,Quigley-Hodkiewicz
90530,2022-01-03,16,8,769,1,2022-01-31,2022-02-14,0,14,Winter2021,Sweden,Schmeler-Tillman
78771,2022-01-03,20,4,146,2,2022-02-02,2022-02-11,0,9,Winter2021,Germany,Ferry and Sons
73487,2022-01-03,20,6,586,1,2022-02-03,2022-02-17,0,14,Winter2021,France,"Pfannerstill, Blanda and Prohaska"
7424,2022-01-03,16,4,294,1,2022-01-20,2022-01-21,0,1,Winter2021,Germany,Prohaska LLC
32923,2022-01-03,15,6,1107,2,2022-01-25,2022-02-01,0,7,Winter2021,France,"Lowe, Schiller and Windler"
79400,2022-01-03,15,5,741,1,2022-01-24,2022-02-03,0,10,Winter2021,Czech Republic,Conn Inc
83748,2022-01-03,20,6,715,1,2022-02-08,2022-02-14,0,6,Winter2021,Spain,Weissnat-Lehner
74182,2022-01-03,21,4,351,2,2022-02-02,2022-02-11,0,9,Winter2021,Germany,Waters LLC
88632,2022-01-03,15,6,774,1,2022-02-21,2022-03-04,0,11,Winter2021,France,"Jacobson, Spinka and Gleichner"
56411,2022-01-03,19,6,1065,2,2022-01-19,2022-01-25,0,6,Winter2021,France,Fritsch Group
89262,2022-01-03,18,6,990,2,2022-02-07,2022-02-11,0,4,Winter2021,France,"Hintz, Tromp and Hilpert"
47925,2022-01-03,10,8,525,2,2022-01-19,2022-01-21,0,2,Winter2021,Finland,Koelpin-Pouros
47440,2022-01-03,22,4,411,1,2022-02-03,2022-02-10,0,7,Winter2021,Belgium,Schoen-Dicki
48278,2022-01-03,17,5,588,2,2022-02-07,2022-02-17,0,10,Winter2021,Poland,Goyette LLC
88762,2022-01-03,10,4,404,1,2022-02-03,2022-02-04,0,1,Winter2021,Germany,Watsica Inc
14424,2022-01-03,19,4,65,1,2022-02-15,2022-02-23,0,8,Winter2021,Germany,Aufderhar Group
26480,2022-01-03,18,8,1032,1,2022-02-08,2022-02-14,0,6,Winter2021,Sweden,Rosenbaum LLC
86186,2022-01-03,21,6,1224,1,2022-02-01,2022-02-14,0,13,Winter2021,Portugal,"Stoltenberg, Schaden and Grimes"
41219,2022-01-04,18,4,330,1,2022-02-01,2022-02-02,0,1,Winter2021,Belgium,Jast Inc
94414,2022-01-04,19,8,548,2,2022-02-04,2022-02-08,0,4,Winter2021,Finland,"Predovic, Bernier and Gislason"
56398,2022-01-04,17,8,1202,1,2022-02-01,2022-02-15,0,14,Winter2021,Denmark,Pfeffer Inc
10287,2022-01-04,13,8,845,1,2022-02-02,2022-02-14,0,12,Winter2021,Sweden,"Kuphal, Miller and Watsica"
57767,2022-01-04,16,4,347,1,2022-02-07,2022-02-18,0,11,Winter2021,Germany,"Veum, Gusikowski and Thiel"
50339,2022-01-04,20,6,791,1,2022-01-21,2022-01-27,0,6,Winter2021,France,Smitham and Sons
85462,2022-01-04,19,8,898,1,2022-02-04,2022-02-14,0,10,Winter2021,Sweden,Bogisich-Brown
72553,2022-01-04,25,8,1056,1,2022-01-05,2022-01-19,0,14,Winter2021,Sweden,Sawayn Group
21072,2022-01-04,18,6,664,2,2022-02-22,2022-02-23,0,1,Winter2021,France,Hilll-Waters
19726,2022-01-04,17,4,270,1,2022-02-02,2022-02-07,0,5,Winter2021,Germany,Hirthe-McClure
45965,2022-01-04,17,4,96,1,2022-01-28,2022-02-11,0,14,Winter2021,Germany,Ondricka-Carroll
3680,2022-01-04,22,8,1032,1,2022-01-26,2022-01-31,0,5,Winter2021,Sweden,Rosenbaum LLC
8322,2022-01-04,15,6,654,1,2022-02-01,2022-02-14,0,13,Winter2021,France,Yundt and Sons
46466,2022-01-04,18,4,235,1,2022-02-10,2022-02-16,0,6,Winter2021,Germany,Graham Inc
8245,2022-01-04,17,5,1150,1,2022-01-31,2022-02-08,0,8,Winter2021,Poland,"Marvin, Kemmer and Kling"
8257,2022-01-04,19,4,439,1,2022-02-03,2022-02-15,0,12,Winter2021,Germany,Terry Group
92369,2022-01-04,18,4,161,2,2022-02-22,2022-03-04,0,10,Winter2021,Germany,"Kessler, Dickinson and Rohan"
14570,2022-01-04,16,6,774,1,2022-01-25,2022-02-03,0,9,Winter2021,France,"Jacobson, Spinka and Gleichner"
32652,2022-01-05,20,5,612,2,2022-02-01,2022-02-03,0,2,Winter2021,Czech Republic,"Beahan, Fadel and Waters"
60348,2022-01-05,11,4,361,2,2022-02-04,2022-02-16,0,12,Winter2021,Germany,Konopelski LLC
27022,2022-01-05,22,8,771,1,2022-02-14,2022-02-22,0,8,Winter2021,Norway,McDermott-Conn
30025,2022-01-05,17,5,1076,2,2022-02-01,2022-02-02,0,1,Winter2021,Czech Republic,Dietrich Group
4890,2022-01-05,15,4,281,1,2022-01-19,2022-01-20,0,1,Winter2021,Germany,"Huel, Smitham and Schumm"
5654,2022-01-05,10,4,351,1,2022-01-28,2022-02-01,0,4,Winter2021,Germany,Waters LLC
25864,2022-01-05,18,5,1042,1,2022-02-11,2022-02-25,0,14,Winter2021,Poland,"Dietrich, Cummerata and O'Hara"
65540,2022-01-05,12,5,695,1,2022-02-07,2022-02-16,0,9,Winter2021,Czech Republic,Lebsack-Simonis
27950,2022-01-05,20,6,719,1,2022-02-09,2022-02-15,0,6,Winter2021,Croatia,"Beier, Heaney and Upton"
76597,2022-01-05,21,5,1162,2,2022-02-15,2022-03-01,0,14,Winter2021,Poland,Bruen Inc
18728,2022-01-05,20,4,419,1,2022-02-17,2022-02-22,0,5,Winter2021,Germany,Zieme-Hartmann
70700,2022-01-05,18,5,815,1,2022-02-17,2022-02-18,0,1,Winter2021,Czech Republic,"Price, Yundt and Kerluke"
49436,2022-01-05,19,8,888,1,2022-02-22,2022-03-03,0,9,Winter2021,Sweden,Muller-Lebsack
11513,2022-01-05,19,4,384,2,2022-01-27,2022-02-04,0,8,Winter2021,Germany,Schumm Inc
9962,2022-01-05,18,4,220,1,2022-01-28,2022-02-10,0,13,Winter2021,Germany,Davis-Zemlak
9092,2022-01-05,17,4,458,1,2022-01-26,2022-02-09,0,14,Winter2021,Germany,Stoltenberg-Crooks
69965,2022-01-05,19,6,998,1,2022-02-01,2022-02-09,0,8,Winter2021,France,Schultz-Mertz
14905,2022-01-05,14,6,993,2,2022-02-18,2022-02-23,0,5,Winter2021,Portugal,"Kuhn, Considine and Bartell"
80276,2022-01-05,19,4,3,2,2022-01-25,2022-02-07,0,13,Winter2021,Germany,Becker-Heller
8152,2022-01-05,19,8,877,1,2022-01-31,2022-02-08,0,8,Winter2021,Lithuania,Larson-Morissette
92992,2022-01-05,21,8,694,1,2022-01-31,2022-02-02,0,2,Winter2021,Norway,Heaney-Emard
43191,2022-01-05,16,4,187,2,2022-02-22,2022-02-28,0,6,Winter2021,Belgium,"Torphy, Smitham and Gaylord"
1675,2022-01-05,14,8,889,1,2022-01-27,2022-01-28,0,1,Winter2021,Sweden,"Kertzmann, Padberg and Goldner"
41036,2022-01-05,19,6,551,2,2022-01-26,2022-02-02,0,7,Winter2021,France,Parker Inc
66666,2022-01-05,15,4,429,1,2022-02-09,2022-02-21,0,12,Winter2021,Germany,Moen-Zboncak
22247,2022-01-05,16,4,226,1,2022-02-11,2022-02-14,0,3,Winter2021,Germany,Hettinger LLC
37761,2022-01-06,19,4,98,1,2022-01-25,2022-02-02,0,8,Winter2021,Germany,McKenzie and Sons
68311,2022-01-06,16,5,1111,2,2022-02-07,2022-02-10,0,3,Winter2021,Poland,Roberts Group
57477,2022-01-06,18,4,289,1,2022-02-09,2022-02-17,0,8,Winter2021,Germany,Williamson LLC
94956,2022-01-06,19,6,1017,1,2022-02-03,2022-02-11,0,8,Winter2021,Portugal,"Murazik, Muller and Rodriguez"
92304,2022-01-06,14,4,73,1,2022-01-25,2022-01-28,0,3,Winter2021,Germany,VonRueden LLC
71774,2022-01-06,23,5,685,1,2022-02-14,2022-02-18,0,4,Winter2021,Czech Republic,Price Inc
38769,2022-01-06,19,4,77,2,2022-02-08,2022-02-17,0,9,Winter2021,Germany,"Bashirian, Herman and McDermott"
60642,2022-01-06,18,5,658,2,2022-01-14,2022-01-19,0,5,Winter2021,Czech Republic,Bechtelar-Volkman
56570,2022-01-06,19,5,815,1,2022-02-01,2022-02-07,0,6,Winter2021,Czech Republic,"Price, Yundt and Kerluke"
35765,2022-01-06,17,8,644,1,2022-02-09,2022-02-21,0,12,Winter2021,Finland,"Terry, Gleichner and Johnston"
64093,2022-01-06,17,4,467,1,2022-02-15,2022-02-25,0,10,Winter2021,Belgium,Lynch Group
81019,2022-01-06,14,4,244,1,2022-01-31,2022-02-14,0,14,Winter2021,Germany,Considine-Haley
25859,2022-01-06,18,6,580,1,2022-01-19,2022-01-31,0,12,Winter2021,Croatia,Barrows Group
86907,2022-01-06,19,8,508,1,2022-02-01,2022-02-07,0,6,Winter2021,Lithuania,"Brakus, Waters and Labadie"
5988,2022-01-06,22,4,446,1,2022-01-26,2022-02-04,0,9,Winter2021,Germany,Bailey-Quigley
84820,2022-01-06,20,5,759,1,2022-03-03,2022-03-17,0,14,Winter2021,Czech Republic,Boyer LLC
26183,2022-01-06,13,4,201,1,2022-02-24,2022-03-01,0,5,Winter2021,Belgium,Kautzer Inc
83292,2022-01-06,15,4,265,1,2022-02-04,2022-02-15,0,11,Winter2021,Germany,Gislason LLC
81367,2022-01-06,18,5,1181,2,2022-02-18,2022-02-22,0,4,Winter2021,Greece,"Funk, Hayes and Cassin"
26195,2022-01-06,15,5,961,1,2022-01-25,2022-02-07,0,13,Winter2021,Poland,Towne-Jakubowski
16329,2022-01-06,19,4,124,1,2022-02-09,2022-02-23,0,14,Winter2021,Belgium,Legros Group
76194,2022-01-06,21,4,280,1,2022-02-07,2022-02-18,0,11,Winter2021,Germany,Herzog Group
43142,2022-01-07,19,8,940,1,2022-02-09,2022-02-17,0,8,Winter2021,Sweden,Nolan-McKenzie
40086,2022-01-07,19,4,271,1,2022-02-15,2022-02-24,0,9,Winter2021,Germany,"Koepp, Schuster and Von"
77398,2022-01-07,20,6,1080,2,2022-01-27,2022-01-28,0,1,Winter2021,France,Lakin Inc
21353,2022-01-07,18,6,949,1,2022-01-26,2022-02-01,0,6,Winter2021,Portugal,Lebsack-Ondricka
16356,2022-01-07,21,4,123,1,2022-02-02,2022-02-08,0,6,Winter2021,Germany,Wuckert-Cormier
23327,2022-01-07,20,5,1215,1,2022-02-07,2022-02-09,0,2,Winter2021,Czech Republic,Dicki-Rice
4863,2022-01-07,12,8,877,1,2022-02-14,2022-02-16,0,2,Winter2021,Lithuania,Larson-Morissette
44562,2022-01-07,23,4,362,1,2022-02-10,2022-02-16,0,6,Winter2021,Belgium,Turner LLC
86052,2022-01-07,15,6,700,1,2022-01-27,2022-02-01,0,5,Winter2021,France,"Johns, Kerluke and Botsford"
69376,2022-01-07,19,4,2,1,2022-02-09,2022-02-14,0,5,Winter2021,Germany,"Smitham, Lind and Lindgren"
77664,2022-01-07,20,5,833,2,2022-02-08,2022-02-11,0,3,Winter2021,Greece,Stamm-Bogisich
87423,2022-01-07,15,6,717,1,2022-02-15,2022-02-28,0,13,Winter2021,Croatia,Luettgen Inc
68646,2022-01-07,16,8,682,2,2022-02-17,2022-02-23,0,6,Winter2021,Finland,Muller Group
56461,2022-01-07,23,5,1183,2,2022-02-02,2022-02-10,0,8,Winter2021,Poland,Johns Group
93948,2022-01-07,21,5,785,1,2022-01-28,2022-01-31,0,3,Winter2021,Czech Republic,"Huels, Krajcik and Ledner"
76298,2022-01-07,12,4,384,1,2022-02-01,2022-02-14,0,13,Winter2021,Germany,Schumm Inc
56076,2022-01-07,16,6,1144,1,2022-02-04,2022-02-07,0,3,Winter2021,Portugal,Champlin Inc
67312,2022-01-07,16,4,368,1,2022-02-07,2022-02-08,0,1,Winter2021,Germany,"Nikolaus, McCullough and Schimmel"
9213,2022-01-07,17,5,1081,1,2022-01-31,2022-02-14,0,14,Winter2021,Greece,Kuhic Group
73945,2022-01-07,16,6,1085,1,2022-02-03,2022-02-04,0,1,Winter2021,France,MacGyver-Lockman
68633,2022-01-07,18,8,1108,1,2022-02-11,2022-02-23,0,12,Winter2021,Norway,"Abbott, Hegmann and Stracke"
56900,2022-01-07,16,4,725,2,2022-02-04,2022-02-10,0,6,Winter2021,Netherlands,Murphy-Bruen
73531,2022-01-07,17,6,1193,1,2022-02-02,2022-02-08,0,6,Winter2021,Portugal,Bogisich and Sons
94447,2022-01-07,16,6,1065,1,2022-01-24,2022-02-07,0,14,Winter2021,France,Fritsch Group
15302,2022-01-08,15,8,512,1,2022-01-31,2022-02-11,0,11,Winter2021,Sweden,Shanahan Inc
5802,2022-01-08,20,5,803,2,2022-02-21,2022-02-23,0,2,Winter2021,Czech Republic,Lueilwitz-Goyette
66469,2022-01-08,13,6,927,1,2022-01-27,2022-02-09,0,13,Winter2021,Portugal,"Stoltenberg, Ziemann and Torphy"
54478,2022-01-08,12,4,173,1,2022-02-02,2022-02-10,0,8,Winter2021,Germany,"Daugherty, Schuppe and Boyer"
17103,2022-01-08,18,8,532,1,2022-01-31,2022-02-10,0,10,Winter2021,Sweden,"Hilpert, Mosciski and Feest"
57762,2022-01-08,18,4,233,1,2022-02-07,2022-02-16,0,9,Winter2021,Germany,O'Connell-Rosenbaum
7267,2022-01-08,18,5,757,2,2022-01-27,2022-02-03,0,7,Winter2021,Hungary,Balistreri-Sipes
27274,2022-01-08,19,4,221,1,2022-01-27,2022-02-10,0,14,Winter2021,Belgium,"Ruecker, Cruickshank and Kerluke"
40902,2022-01-08,21,5,1009,1,2022-02-08,2022-02-21,0,13,Winter2021,Greece,Quitzon Group
288,2022-01-08,15,4,4,1,2022-03-02,2022-03-07,0,5,Winter2021,Germany,Runolfsdottir Inc
13750,2022-01-08,17,4,367,1,2022-02-01,2022-02-07,0,6,Winter2021,Germany,"Raynor, Bailey and Lebsack"
49862,2022-01-08,18,5,1117,1,2022-02-01,2022-02-08,0,7,Winter2021,Greece,"Swaniawski, Turcotte and Bernhard"
39149,2022-01-08,14,6,904,1,2022-02-04,2022-02-08,0,4,Winter2021,Spain,"Effertz, Nader and Nitzsche"
52951,2022-01-08,12,5,593,1,2022-02-02,2022-02-07,0,5,Winter2021,Poland,"Reynolds, Rohan and Raynor"
35736,2022-01-08,17,6,1093,2,2022-02-15,2022-02-23,0,8,Winter2021,Portugal,King-Steuber
66671,2022-01-08,15,4,292,2,2022-02-01,2022-02-08,0,7,Winter2021,Germany,Klocko Inc
13473,2022-01-08,21,6,893,2,2022-03-03,2022-03-14,0,11,Winter2021,Portugal,Hudson Group
23685,2022-01-08,17,6,641,1,2022-01-21,2022-01-26,0,5,Winter2021,Spain,"Stehr, Pollich and Hartmann"
76620,2022-01-08,21,4,256,1,2022-02-01,2022-02-11,0,10,Winter2021,Germany,Kris and Sons
31961,2022-01-08,16,5,1088,1,2022-01-27,2022-02-08,0,12,Winter2021,Poland,"Heidenreich, Gerhold and Padberg"
31463,2022-01-08,19,4,178,1,2022-02-14,2022-02-16,0,2,Winter2021,Germany,Weber-Jacobi
69457,2022-01-08,13,4,35,1,2022-02-10,2022-02-18,0,8,Winter2021,Germany,Walker-Deckow
93839,2022-01-08,14,5,1204,1,2022-01-13,2022-01-27,0,14,Winter2021,Czech Republic,Fay and Sons
38547,2022-01-08,20,4,167,1,2022-01-31,2022-02-10,0,10,Winter2021,Germany,Moore LLC
65466,2022-01-08,27,4,225,1,2022-02-23,2022-03-07,0,12,Winter2021,Germany,Leannon LLC
21267,2022-01-08,19,4,455,1,2022-02-03,2022-02-14,0,11,Winter2021,Belgium,Skiles and Sons
93868,2022-01-08,20,4,480,1,2022-02-03,2022-02-10,0,7,Winter2021,Belgium,Jaskolski-Quigley
21054,2022-01-08,27,8,881,1,2022-02-15,2022-02-24,0,9,Winter2021,Sweden,"Carroll, Durgan and Leuschke"
53881,2022-01-09,22,4,341,1,2022-02-08,2022-02-16,0,8,Winter2021,Germany,Blanda-Dicki
47359,2022-01-09,16,4,83,2,2022-02-11,2022-02-18,0,7,Winter2021,Germany,Oberbrunner-Predovic
55197,2022-01-09,17,4,136,1,2022-02-16,2022-03-02,0,14,Winter2021,Germany,"Gutmann, Schaefer and Morissette"
13673,2022-01-09,14,4,370,2,2022-02-03,2022-02-08,0,5,Winter2021,Germany,"Hegmann, Upton and Batz"
69822,2022-01-09,15,8,634,2,2022-02-11,2022-02-25,0,14,Winter2021,Sweden,Aufderhar-Larkin
98935,2022-01-09,19,5,588,1,2022-02-14,2022-02-17,0,3,Winter2021,Poland,Goyette LLC
25800,2022-01-09,21,6,727,1,2022-01-31,2022-02-09,0,9,Winter2021,France,Bogan and Sons
25277,2022-01-09,23,6,1096,1,2022-02-07,2022-02-18,0,11,Winter2021,Portugal,Stoltenberg Inc
77710,2022-01-09,17,4,387,1,2022-02-10,2022-02-22,0,12,Winter2021,Germany,"Corwin, Dickens and Klein"
99046,2022-01-09,14,6,883,1,2022-02-01,2022-02-15,0,14,Winter2021,Spain,Farrell-Grady
59275,2022-01-09,17,5,801,1,2022-02-02,2022-02-09,0,7,Winter2021,Czech Republic,Feeney-Hills
61682,2022-01-09,19,7,667,1,2022-01-27,2022-02-10,0,14,Winter2021,United Kingdom,Moore-Bartoletti
18914,2022-01-09,20,8,705,1,2022-02-04,2022-02-17,0,13,Winter2021,Sweden,Kunde and Sons
93309,2022-01-09,17,5,1194,1,2022-02-18,2022-02-28,0,10,Winter2021,Czech Republic,Oberbrunner-Haag
62540,2022-01-10,18,4,394,1,2022-02-03,2022-02-07,0,4,Winter2021,Germany,"Blick, Rodriguez and Boyle"
10059,2022-01-10,17,4,246,1,2022-02-10,2022-02-24,0,14,Winter2021,Germany,Schmitt LLC
30950,2022-01-10,16,4,48,2,2022-02-10,2022-02-14,0,4,Winter2021,Germany,"Larson, Reichert and Pfannerstill"
76795,2022-01-10,20,4,358,1,2022-02-01,2022-02-07,0,6,Winter2021,Germany,"Kovacek, Renner and Gibson"
4805,2022-01-10,15,5,658,2,2022-02-04,2022-02-16,0,12,Winter2021,Czech Republic,Bechtelar-Volkman
33014,2022-01-10,18,4,47,1,2022-02-18,2022-03-03,0,13,Winter2021,Germany,Connelly-Glover
8085,2022-01-10,15,4,259,1,2022-02-03,2022-02-16,0,13,Winter2021,Germany,"Bartell, Turcotte and Braun"
90880,2022-01-10,22,5,748,1,2022-02-10,2022-02-17,0,7,Winter2021,Czech Republic,Weimann-Brown
76843,2022-01-10,15,8,948,1,2022-02-01,2022-02-15,0,14,Winter2021,Sweden,Hagenes Inc
6760,2022-01-10,20,5,1078,1,2022-02-09,2022-02-16,0,7,Winter2021,Czech Republic,"Grant, Rosenbaum and Schuster"
92600,2022-01-10,18,4,391,1,2022-02-04,2022-02-17,0,13,Winter2021,Germany,O'Keefe-Schneider
24077,2022-01-10,25,8,877,1,2022-02-10,2022-02-22,0,12,Winter2021,Lithuania,Larson-Morissette
99295,2022-01-10,21,6,1085,1,2022-02-24,2022-03-04,0,8,Winter2021,France,MacGyver-Lockman
73131,2022-01-10,14,4,489,1,2022-01-20,2022-02-03,0,14,Winter2021,Germany,"Moore, Homenick and Glover"
60116,2022-01-10,16,6,507,1,2022-02-11,2022-02-16,0,5,Winter2021,Croatia,"Fay, Senger and Rau"
5192,2022-01-10,18,4,524,1,2022-02-04,2022-02-09,0,5,Winter2021,Netherlands,Kuvalis-Rogahn
47360,2022-01-10,20,8,963,2,2022-02-11,2022-02-21,0,10,Winter2021,Latvia,Lockman-Bechtelar
1939,2022-01-10,14,5,501,2,2022-02-08,2022-02-18,0,10,Winter2021,Greece,McClure LLC
1486,2022-01-10,19,5,745,1,2022-02-14,2022-02-22,0,8,Winter2021,Czech Republic,"Bartell, Deckow and Abshire"
66689,2022-01-11,17,4,72,1,2022-01-26,2022-02-08,0,13,Winter2021,Germany,Towne-Weber
1299,2022-01-11,18,4,275,1,2022-02-24,2022-03-01,0,5,Winter2021,Germany,"Hauck, Breitenberg and Crooks"
85571,2022-01-11,17,4,393,1,2022-02-14,2022-02-22,0,8,Winter2021,Germany,"Hauck, Kovacek and Schuster"
62642,2022-01-11,18,4,302,1,2022-01-28,2022-02-08,0,11,Winter2021,Germany,"Tillman, Smitham and Lesch"
63373,2022-01-11,15,6,906,1,2022-01-28,2022-02-02,0,5,Winter2021,Portugal,King Group
27109,2022-01-11,19,4,312,2,2022-02-02,2022-02-08,0,6,Winter2021,Germany,Ullrich Group
15168,2022-01-11,19,6,1197,1,2022-02-03,2022-02-09,0,6,Winter2021,Portugal,Nicolas Inc
63854,2022-01-11,20,5,1009,1,2022-02-11,2022-02-24,0,13,Winter2021,Greece,Quitzon Group
95455,2022-01-11,17,8,978,1,2022-02-02,2022-02-10,0,8,Winter2021,Sweden,"Stanton, Smith and Abshire"
22822,2022-01-11,19,6,681,1,2022-02-02,2022-02-15,0,13,Winter2021,Slovenia,"Willms, Stoltenberg and Miller"
13594,2022-01-11,21,4,222,2,2022-02-09,2022-02-14,0,5,Winter2021,Germany,Renner and Sons
46805,2022-01-11,18,8,657,1,2022-01-21,2022-02-01,0,11,Winter2021,Sweden,Hamill-Stamm
80499,2022-01-11,15,5,1129,1,2022-02-17,2022-03-01,0,12,Winter2021,Czech Republic,"Ebert, Schuster and Ernser"
35563,2022-01-11,24,4,79,1,2022-02-08,2022-02-10,0,2,Winter2021,Germany,"Dooley, Legros and Fritsch"
17778,2022-01-11,17,6,614,2,2022-02-11,2022-02-25,0,14,Winter2021,France,Rutherford LLC
30269,2022-01-11,17,4,273,1,2022-02-17,2022-02-24,0,7,Winter2021,Germany,"Bednar, Rau and Frami"
76814,2022-01-12,19,4,75,2,2022-02-02,2022-02-07,0,5,Winter2021,Germany,Rath and Sons
22865,2022-01-12,17,4,355,1,2022-01-21,2022-01-26,0,5,Winter2021,Germany,Stanton-Wisozk
39151,2022-01-12,17,5,1215,1,2022-02-18,2022-02-24,0,6,Winter2021,Czech Republic,Dicki-Rice
4449,2022-01-12,16,4,153,1,2022-02-01,2022-02-03,0,2,Winter2021,Germany,Hodkiewicz LLC
30393,2022-01-12,17,6,630,2,2022-02-08,2022-02-09,0,1,Winter2021,France,"Jast, Schimmel and Goldner"
31777,2022-01-12,18,4,94,2,2022-02-15,2022-03-01,0,14,Winter2021,Germany,Wilkinson Inc
2349,2022-01-12,21,4,133,1,2022-02-11,2022-02-16,0,5,Winter2021,Germany,Schmitt Inc
12495,2022-01-12,16,4,467,1,2022-01-13,2022-01-18,0,5,Winter2021,Belgium,Lynch Group
57738,2022-01-12,19,5,767,2,2022-01-27,2022-02-10,0,14,Winter2021,Greece,"Marquardt, Maggio and Johnston"
